Arabidopsis thaliana
Brachypodium distachyon
Brassica rapa
Carica papaya
Chlamydomonas reinhardtii
Cucumis sativus
Gossypium hirsutum
Glycine max
Glycine max
Hordeum vulgare
Lotus japonicus
Manihot esculenta
Mimulus guttatus
Medicago truncatula
Oryza sativa
Physcomitrella patens
Ricinus communis
Prunus persica
Populus trichocarpa
Sorghum bicolor
Setaria italica
Solanum lycopersicum
Solanum tuberosum
Selaginella moellendorffii
Triticum aestivum
Volvox carteri
Vitis vinifera
Zea mays
Zea mays
